iter	Passed	Remaining
0	0	44
1	0	42
2	1	42
3	1	41
4	2	41
5	2	40
6	3	40
7	3	38
8	3	38
9	4	38
10	4	37
11	5	37
12	5	36
13	5	36
14	6	36
15	6	35
16	7	34
17	7	33
18	7	33
19	8	32
20	8	32
21	9	32
22	9	31
23	9	31
24	10	30
25	10	29
26	10	29
27	11	28
28	11	28
29	11	27
30	12	27
31	12	26
32	12	26
33	13	26
34	13	25
35	14	25
36	14	24
37	14	24
38	15	24
39	15	23
40	16	23
41	16	22
42	16	22
43	17	22
44	17	21
45	18	21
46	18	20
47	18	20
48	19	20
49	19	19
50	20	19
51	20	18
52	20	18
53	21	18
54	21	17
55	21	17
56	22	16
57	22	16
58	23	16
59	23	15
60	24	15
61	24	15
62	24	14
63	25	14
64	25	13
65	26	13
66	26	13
67	26	12
68	27	12
69	27	11
70	27	11
71	28	11
72	28	10
73	29	10
74	29	9
75	29	9
76	30	9
77	30	8
78	30	8
79	31	7
80	31	7
81	31	7
82	32	6
83	32	6
84	33	5
85	33	5
86	33	5
87	34	4
88	34	4
89	34	3
90	35	3
91	35	3
92	36	2
93	36	2
94	36	1
95	37	1
96	37	1
97	37	0
98	38	0
99	38	0
